StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,4,5,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,7,8_1,8_2,8_3,8_4,9,10_1,10_2,10_3,10_4,11,12,13,14,15,16
2017-07-14 05:48:28,2017-07-14 05:57:38,IP Address,182.69.36.164,100,549,True,2017-07-14 05:57:39,R_2wyhW99VZDlJ3cU,,,,,28.600006103516,77.200012207031,anonymous,EN,Self-drive,5,Level 3 - Partial self-drive,Somewhat likely,Somewhat unlikely,4,5,3,6,2,1,8,7,$5000-7500,1,3,2,4,Fully-self driving cars will not be safe,2,1,3,4,Very concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-14 11:46:27,2017-07-14 11:48:30,IP Address,79.214.245.2,100,122,True,2017-07-14 11:48:31,R_1joASaQ7vtmMmnM,,,,,50.115295410156,8.6822967529297,anonymous,EN,Be driven by an autonomous car,9,Level 4 - Full self-drive,Somewhat likely,Extremely likely,1,7,8,6,3,2,5,4,$2500-5000,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,3,2,4,1,Moderately concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-14 12:42:32,2017-07-14 12:47:19,IP Address,178.203.234.239,100,286,True,2017-07-14 12:47:20,R_2WZiaeO1l5jfes4,,,,,50.125198364258,8.6864929199219,social,EN,Self-drive,7,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,2,8,1,7,6,5,4,3,$5000-7500,2,3,1,4,A fully self-driving car will free up my time and let me multitask,2,3,4,1,Moderately concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-14 12:48:03,2017-07-14 12:51:43,IP Address,85.180.193.241,100,220,True,2017-07-14 12:51:44,R_0DqErzDJW8S31VT,,,,,50.100006103516,8.7666931152344,social,EN,Self-drive,10,Level 4 - Full self-drive,Somewhat likely,Extremely likely,5,6,3,7,8,1,4,2,$2500-5000,1,2,4,3,A fully self-driving car will free up my time and let me multitask,3,2,1,4,Moderately concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-14 12:50:26,2017-07-14 12:57:44,IP Address,82.195.76.27,100,437,True,2017-07-14 12:57:45,R_2q9i2IPFcHjiCn2,,,,,50.111206054688,8.68310546875,social,EN,Be driven by an autonomous car,8,Level 4 - Full self-drive,Somewhat likely,Extremely likely,7,5,2,4,6,8,3,1,$5000-7500,1,3,2,4,A fully self-driving car will free up my time and let me multitask,4,2,3,1,Moderately concerned,Definitely yes,20-30 years,Yes,,Male
2017-07-14 12:50:33,2017-07-14 13:01:07,IP Address,178.203.234.81,100,634,True,2017-07-14 13:01:08,R_29mQGER4z3y7UAk,,,,,50.125198364258,8.6864929199219,social,EN,Self-drive,4,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,4,7,1,6,2,3,5,8,$5000-7500,1,2,4,3,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Very concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-14 12:44:43,2017-07-14 13:10:31,IP Address,93.231.68.96,100,1547,True,2017-07-14 13:10:32,R_1LSUO0ojT16hgI4,,,,,51.950897216797,8.8657989501953,social,EN,Be driven by an autonomous car,9,Level 4 - Full self-drive,Extremely likely,Extremely likely,2,4,1,5,6,7,3,8,$5000-7500,2,4,1,3,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Moderately concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-14 13:10:53,2017-07-14 13:14:42,IP Address,46.183.103.8,100,229,True,2017-07-14 13:14:43,R_2R39NZMNeY55oKa,,,,,51.299301147461,9.4909973144531,social,EN,Self-drive,5,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Somewhat likely,Somewhat likely,3,4,1,2,6,5,7,8,$2500-5000,1,4,2,3,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Very concerned,Might or might not,20-30 years,Yes,0-5000 kilometers,Female
2017-07-14 13:12:28,2017-07-14 13:17:28,IP Address,84.118.21.106,100,299,True,2017-07-14 13:17:29,R_RCQX3jo5ShSJCsp,,,,,50.138305664062,8.7115936279297,social,EN,Be driven by an autonomous car,5,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,6,8,1,2,4,5,7,3,$2500-5000,1,3,2,4,A fully self-driving car will free up my time and let me multitask,,,,,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-14 13:16:26,2017-07-14 13:21:56,IP Address,42.106.52.163,100,329,True,2017-07-14 13:21:56,R_2w68iNwHZ6OyeTg,,,,,23.033294677734,72.61669921875,social,EN,Self-drive,4,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat likely,1,3,4,2,5,6,7,8,$2500-5000,1,4,2,3,Fully-self driving cars will not be safe,4,1,2,3,Moderately concerned,Might or might not,30-40 years,Yes,>20000 kilometers,Male
2017-07-14 13:30:33,2017-07-14 13:34:38,IP Address,122.179.34.146,100,245,True,2017-07-14 13:34:40,R_3M0sJWa0ALUDCnF,,,,,12.983306884766,77.583312988281,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Somewhat likely,7,6,4,5,1,3,8,2,$2500-5000,3,2,1,4,A fully self-driving car will free up my time and let me multitask,,,,,Very concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Male
2017-07-14 13:29:48,2017-07-14 13:35:14,IP Address,93.201.105.101,100,325,True,2017-07-14 13:35:14,R_bsfmXdXrBfujmo1,,,,,54.333297729492,9.8332977294922,social,EN,Be driven by an autonomous car,10,"Level 3 - Partial self-drive,Level 4 - Full self-drive",Extremely likely,Extremely likely,1,6,5,4,8,7,3,2,$5000-7500,2,4,1,3,Traveling in a fully self-driving car will be a positive experience,4,1,3,2,Moderately concerned,Definitely yes,20-30 years,Yes,10000-20000 kilometers,Female
2017-07-14 13:43:05,2017-07-14 13:56:17,IP Address,95.208.248.117,100,791,True,2017-07-14 13:56:18,R_2Eixq6vN6vHA4wy,,,,,48.766693115234,9.1833038330078,social,EN,Self-drive,2,Level 1 - Basic Automation,Somewhat likely,Somewhat likely,6,5,7,3,8,2,1,4,$5000-7500,2,3,4,1,Traveling in a fully self-driving car will be a positive experience,4,1,3,2,Very concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-14 13:53:23,2017-07-14 13:56:45,IP Address,121.244.36.2,100,202,True,2017-07-14 13:56:48,R_3LXwpPeCGgHmbwt,,,,,12.983306884766,77.583312988281,social,EN,Self-drive,3,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,7,6,2,8,1,5,4,3,$2500-5000,1,2,4,3,Traveling in a fully self-driving car will be a positive experience,1,2,3,4,Moderately concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Male
2017-07-14 13:38:30,2017-07-14 13:59:52,IP Address,94.204.31.117,100,1281,True,2017-07-14 13:59:54,R_3EsgDNH3cPIFqFf,,,,,25.263900756836,55.30810546875,social,EN,Be driven by an autonomous car,6,Level 3 - Partial self-drive,Extremely likely,Somewhat likely,5,7,8,2,6,4,3,1,$0-2500,1,3,2,4,Fully-self driving cars will not be safe,2,1,3,4,Very concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Female
2017-07-14 14:15:27,2017-07-14 14:19:50,IP Address,87.208.239.167,100,262,True,2017-07-14 14:19:51,R_2YS9nbcmzwqZ7bG,,,,,51.912994384766,4.4510040283203,social,EN,Self-drive,3,Level 3 - Partial self-drive,Extremely likely,Extremely unlikely,8,1,7,3,6,5,4,2,$0-2500,2,3,4,1,Fully-self driving cars will not be safe,3,1,2,4,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-14 14:16:11,2017-07-14 14:23:43,IP Address,106.79.113.93,100,451,True,2017-07-14 14:23:43,R_2SphqhOhpogVoHO,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,5,Level 3 - Partial self-drive,Neither likely nor unlikely,Somewhat likely,2,7,3,1,5,6,4,8,$2500-5000,1,3,2,4,Fully-self driving cars will not be safe,4,1,2,3,Very concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-14 14:23:09,2017-07-14 14:28:19,IP Address,42.106.106.95,100,310,True,2017-07-14 14:28:19,R_4UtXfICUp62eljP,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Extremely likely,Extremely likely,5,3,1,4,6,7,8,2,$5000-7500,1,3,2,4,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Very concerned,Definitely yes,30-40 years,No,,Male
2017-07-14 14:27:41,2017-07-14 14:33:32,IP Address,203.91.201.54,100,350,True,2017-07-14 14:33:36,R_51rKwehSeD6SMtX,,,,,13.083297729492,80.283294677734,social,EN,Be driven by an autonomous car,7,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,1,2,3,4,5,6,7,8,$2500-5000,1,3,2,4,Traveling in a fully self-driving car will be a positive experience,4,1,3,2,Moderately concerned,Probably yes,30-40 years,Yes,0-5000 kilometers,Male
2017-07-14 14:25:12,2017-07-14 14:34:50,IP Address,193.175.98.237,100,578,True,2017-07-14 14:34:51,R_3KMxpyqKSedMpss,,,,,50.125,8.6761932373047,social,EN,Be driven by an autonomous car,7,Level 4 - Full self-drive,Neither likely nor unlikely,Somewhat likely,8,5,2,7,4,3,6,1,$0-2500,4,3,2,1,Traveling in a fully self-driving car will be a positive experience,3,1,2,4,Moderately concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-14 14:15:25,2017-07-14 14:37:29,IP Address,121.243.26.254,100,1323,True,2017-07-14 14:37:30,R_1FxjpboklrdXA8x,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,7,Level 4 - Full self-drive,Extremely likely,Extremely likely,8,6,1,2,7,5,4,3,$0-2500,2,4,1,3,A fully self-driving car will free up my time and let me multitask,3,2,1,4,Moderately concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-14 14:32:56,2017-07-14 14:40:06,IP Address,106.77.196.99,100,430,True,2017-07-14 14:40:07,R_2aQtjPXchjKwHAr,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,1,Level 1 - Basic Automation,Extremely unlikely,Extremely unlikely,8,7,3,6,4,2,5,1,$2500-5000,1,2,4,3,Fully-self driving cars will not be safe,1,3,2,4,Very concerned,Might or might not,30-40 years,Yes,0-5000 kilometers,Male
2017-07-14 14:37:31,2017-07-14 14:42:24,IP Address,88.68.94.49,100,292,True,2017-07-14 14:42:25,R_2Bgjpy2glpBoLPK,,,,,50.001007080078,8.268798828125,social,EN,Be driven by an autonomous car,8,Level 4 - Full self-drive,Extremely unlikely,Neither likely nor unlikely,1,8,2,7,4,6,5,3,$7500 & above,1,3,2,4,I would trust a fully self-driving car to drive for me,1,2,4,3,Moderately concerned,Probably yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-14 14:42:49,2017-07-14 14:45:11,IP Address,178.203.235.107,100,141,True,2017-07-14 14:45:11,R_1Cl5QuWYjUfF2xY,,,,,50.1416015625,8.6154937744141,social,EN,Self-drive,5,"Level 3 - Partial self-drive,Level 4 - Full self-drive",Somewhat likely,Extremely likely,4,6,1,2,3,8,7,5,$7500 & above,1,4,2,3,Traveling in a fully self-driving car will be a positive experience,3,1,2,4,Very concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Female
2017-07-14 14:30:28,2017-07-14 14:48:07,IP Address,106.193.196.101,100,1059,True,2017-07-14 14:48:08,R_3MAQP9UnZGZWlLW,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,7,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,6,2,8,5,7,4,3,1,$5000-7500,2,3,1,4,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Moderately concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-14 14:57:30,2017-07-14 14:59:51,IP Address,195.234.12.105,100,140,True,2017-07-14 14:59:51,R_2znAMeT5skWIV3T,,,,,51.299301147461,9.4909973144531,social,EN,Self-drive,7,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Somewhat unlikely,5,3,8,4,6,7,2,1,$5000-7500,2,3,4,1,Fully-self driving cars will not be safe,1,4,2,3,Very concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-14 14:53:27,2017-07-14 15:03:04,IP Address,223.229.253.131,100,576,True,2017-07-14 15:03:06,R_vuX6MXKvWqUTZsd,,,,,18.975006103516,72.825805664062,social,EN,Be driven by an autonomous car,10,Level 2 - Adaptive Safety Features,Extremely likely,Extremely likely,1,8,2,3,4,5,7,6,$5000-7500,1,2,3,4,Traveling in a fully self-driving car will be a positive experience,2,1,4,3,Moderately concerned,Definitely yes,>60 years,Yes,10000-20000 kilometers,Male
2017-07-14 15:34:23,2017-07-14 15:56:22,IP Address,79.206.243.234,100,1318,True,2017-07-14 15:56:23,R_AA3l4YXb67G7zpL,,,,,50.115295410156,8.6822967529297,social,EN,Be driven by an autonomous car,10,Level 4 - Full self-drive,Extremely likely,Extremely likely,1,2,6,7,5,4,8,3,$2500-5000,2,4,3,1,I would trust a fully self-driving car to drive for me,,,,,Moderately concerned,Definitely yes,<20 years,Yes,0-5000 kilometers,Male
2017-07-14 15:54:30,2017-07-14 15:58:18,IP Address,93.237.62.28,100,227,True,2017-07-14 15:58:18,R_vq5gzz0apmKEq3f,,,,,49.686706542969,8.6284027099609,social,EN,Be driven by an autonomous car,8,Level 3 - Partial self-drive,Somewhat likely,Extremely likely,8,7,1,3,6,5,4,2,$2500-5000,4,3,1,2,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Moderately concerned,Definitely yes,30-40 years,Yes,10000-20000 kilometers,Male
2017-07-14 16:11:05,2017-07-14 16:17:10,IP Address,174.118.77.123,100,364,True,2017-07-14 16:17:11,R_V3BRd6uRKo23Lr3,,,,,43.689895629883,-79.385299682617,social,EN,Be driven by an autonomous car,5,"Level 2 - Adaptive Safety Features,Level 3 - Partial self-drive",Somewhat likely,Somewhat likely,5,7,4,6,1,8,3,2,$2500-5000,1,4,2,3,Fully-self driving cars will not be safe,2,1,3,4,Very concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-14 16:36:29,2017-07-14 16:44:06,IP Address,78.50.223.39,100,456,True,2017-07-14 16:44:06,R_qyAZhkZURCNWPbr,,,,,50.120895385742,8.6965942382812,social,EN,Be driven by an autonomous car,10,Level 4 - Full self-drive,Extremely likely,Extremely likely,2,3,1,8,6,5,7,4,$0-2500,2,3,1,4,I would trust a fully self-driving car to drive for me,1,3,4,2,Slightly concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Male
2017-07-14 16:51:15,2017-07-14 16:54:50,IP Address,194.209.255.26,100,214,True,2017-07-14 16:54:50,R_2PAOL64DwbWQqex,,,,,47.305892944336,8.5556030273438,social,EN,Be driven by an autonomous car,7,Level 4 - Full self-drive,Somewhat likely,Extremely likely,3,4,1,5,6,7,8,2,$5000-7500,3,2,1,4,A fully self-driving car will free up my time and let me multitask,4,1,2,3,Slightly concerned,Definitely yes,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-14 16:52:17,2017-07-14 17:01:27,IP Address,106.201.81.229,100,550,True,2017-07-14 17:01:30,R_bOPWdGdoCEPi2BP,,,,,28.666702270508,77.216705322266,social,EN,Be driven by an autonomous car,8,"Level 2 - Adaptive Safety Features,Level 4 - Full self-drive",Somewhat likely,Extremely likely,1,6,2,3,4,5,7,8,$5000-7500,2,3,1,4,Traveling in a fully self-driving car will be a positive experience,2,1,3,4,Very concerned,Probably yes,>60 years,No,,Female
2017-07-14 17:02:01,2017-07-14 17:09:00,IP Address,49.203.248.28,100,418,True,2017-07-14 17:09:00,R_vJrnP0RwJIUWQ8x,,,,,18.975006103516,72.825805664062,social,EN,Self-drive,6,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,6,3,2,1,5,4,7,8,$5000-7500,1,4,3,2,Fully-self driving cars will not be safe,2,3,4,1,Very concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Male
2017-07-14 17:33:56,2017-07-14 17:39:45,IP Address,106.79.134.163,100,348,True,2017-07-14 17:39:45,R_1FtQuZp8Qu8sZ3c,,,,,18.533294677734,73.86669921875,social,EN,Be driven by an autonomous car,10,Level 3 - Partial self-drive,Extremely likely,Extremely unlikely,5,8,2,6,4,3,7,1,$0-2500,3,2,1,4,I would trust a fully self-driving car to drive for me,2,1,4,3,Moderately concerned,Definitely yes,40-50 years,Yes,>20000 kilometers,Male
2017-07-14 17:40:12,2017-07-14 17:44:14,IP Address,217.235.253.240,100,241,True,2017-07-14 17:44:14,R_1hR3TL7l9WC3czM,,,,,50.985397338867,7.1141052246094,social,EN,Self-drive,5,Level 3 - Partial self-drive,Neither likely nor unlikely,Neither likely nor unlikely,1,3,5,6,7,2,8,4,$5000-7500,1,3,4,2,Traveling in a fully self-driving car will be a positive experience,1,2,4,3,Moderately concerned,Might or might not,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-14 17:56:20,2017-07-14 18:00:47,IP Address,106.209.141.240,100,266,True,2017-07-14 18:00:48,R_3OjqdSRg5uanJwN,,,,,18.975006103516,72.825805664062,social,EN,Self-drive,3,Level 2 - Adaptive Safety Features,Neither likely nor unlikely,Extremely unlikely,4,2,6,8,5,7,3,1,$2500-5000,1,3,4,2,Fully-self driving cars will not be safe,1,2,3,4,Very concerned,Probably not,30-40 years,Yes,5000-10000 kilometers,Male
2017-07-14 18:03:25,2017-07-14 18:10:20,IP Address,114.134.2.227,100,414,True,2017-07-14 18:10:21,R_ZriBpQgYz9wlKzD,,,,,-37.797393798828,175.26040649414,social,EN,Self-drive,3,Level 2 - Adaptive Safety Features,Somewhat likely,Somewhat likely,6,5,7,2,1,4,3,8,$0-2500,1,4,3,2,Fully-self driving cars will not be safe,3,1,2,4,Very concerned,Probably yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-14 14:02:21,2017-07-14 18:19:59,IP Address,116.75.30.159,100,15457,True,2017-07-14 18:20:00,R_ClvXlrqzG2WMhK9,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,2,Level 1 - Basic Automation,Somewhat likely,Somewhat likely,3,6,2,1,5,8,7,4,$2500-5000,2,1,3,4,A fully self-driving car will free up my time and let me multitask,1,2,4,3,Very concerned,Definitely yes,50-60 years,No,,Female
2017-07-14 15:51:16,2017-07-14 18:56:20,IP Address,103.51.211.217,100,11104,True,2017-07-14 18:56:21,R_W2Kg3aAggnlixVv,,,,,18.533294677734,73.86669921875,social,EN,Self-drive,5,Level 3 - Partial self-drive,Somewhat likely,Somewhat likely,1,3,4,7,6,5,2,8,$0-2500,1,2,3,4,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Moderately concerned,Probably yes,30-40 years,Yes,>20000 kilometers,Male
